set,condition,index,filename,automated_mos,scoring_method
held_out,clustered,033,clustered_033.wav,3.2086140614737197,dnsmos
held_out,clustered,034,clustered_034.wav,3.1699375862422037,dnsmos
held_out,clustered,035,clustered_035.wav,3.2449885826351785,dnsmos
held_out,clustered,036,clustered_036.wav,3.125125787276458,dnsmos
held_out,clustered,037,clustered_037.wav,3.234609583808063,dnsmos
held_out,clustered,038,clustered_038.wav,2.8048898802975724,dnsmos
held_out,clustered,039,clustered_039.wav,3.216357423390277,dnsmos
held_out,clustered,040,clustered_040.wav,2.9700433360217833,dnsmos
held_out,clustered,041,clustered_041.wav,3.0084785192110153,dnsmos
held_out,clustered,042,clustered_042.wav,3.169932766181426,dnsmos
held_out,clustered,043,clustered_043.wav,3.373575332148835,dnsmos
held_out,clustered,044,clustered_044.wav,2.8532708241376903,dnsmos
held_out,clustered,045,clustered_045.wav,3.235540533053932,dnsmos
held_out,clustered,046,clustered_046.wav,3.06945251917398,dnsmos
held_out,clustered,047,clustered_047.wav,3.2227927146829614,dnsmos
held_out,clustered,048,clustered_048.wav,3.2325440123455813,dnsmos
held_out,clustered,049,clustered_049.wav,3.165337823999932,dnsmos
held_out,clustered,050,clustered_050.wav,3.051785107275205,dnsmos
unseen,baseline,01,baseline_01.wav,2.892621446276516,dnsmos
unseen,baseline,02,baseline_02.wav,3.146358346997617,dnsmos
unseen,baseline,03,baseline_03.wav,3.032502869879687,dnsmos
unseen,baseline,04,baseline_04.wav,3.1329514647932295,dnsmos
unseen,baseline,05,baseline_05.wav,3.1951116686756076,dnsmos
unseen,baseline,06,baseline_06.wav,2.7137605690655087,dnsmos
unseen,baseline,07,baseline_07.wav,2.743819337757268,dnsmos
unseen,baseline,08,baseline_08.wav,2.9221836128063208,dnsmos
unseen,baseline,09,baseline_09.wav,2.959017539056567,dnsmos
unseen,baseline,10,baseline_10.wav,3.0677325862469074,dnsmos
unseen,baseline,11,baseline_11.wav,3.1914225237022142,dnsmos
unseen,baseline,12,baseline_12.wav,3.0889079458925903,dnsmos
unseen,baseline,13,baseline_13.wav,3.0100873123832073,dnsmos
unseen,baseline,14,baseline_14.wav,2.857241146537721,dnsmos
unseen,baseline,15,baseline_15.wav,2.698238347552657,dnsmos
unseen,baseline,16,baseline_16.wav,3.2182325449887723,dnsmos
unseen,baseline,17,baseline_17.wav,3.274854375793987,dnsmos
unseen,baseline,18,baseline_18.wav,2.655450449368487,dnsmos
unseen,baseline,19,baseline_19.wav,3.2836643490258983,dnsmos
unseen,baseline,20,baseline_20.wav,3.1736637204634826,dnsmos
unseen,clustered,01,clustered_01.wav,3.0425001779673964,dnsmos
unseen,clustered,02,clustered_02.wav,3.09948336885656,dnsmos
unseen,clustered,03,clustered_03.wav,3.067304378852523,dnsmos
unseen,clustered,04,clustered_04.wav,2.9856271887576735,dnsmos
unseen,clustered,05,clustered_05.wav,3.079870068614157,dnsmos
unseen,clustered,06,clustered_06.wav,3.0990339821482578,dnsmos
unseen,clustered,07,clustered_07.wav,2.6057375838679704,dnsmos
unseen,clustered,08,clustered_08.wav,3.059188555735901,dnsmos
unseen,clustered,09,clustered_09.wav,3.1370257635521765,dnsmos
unseen,clustered,10,clustered_10.wav,3.219021472122952,dnsmos
unseen,clustered,11,clustered_11.wav,3.02112368582545,dnsmos
unseen,clustered,12,clustered_12.wav,2.9436831037856677,dnsmos
unseen,clustered,13,clustered_13.wav,2.8980691411977384,dnsmos
unseen,clustered,14,clustered_14.wav,2.841027352901268,dnsmos
unseen,clustered,15,clustered_15.wav,3.0437681864160515,dnsmos
unseen,clustered,16,clustered_16.wav,3.3601247128623344,dnsmos
unseen,clustered,17,clustered_17.wav,3.0661778587688864,dnsmos
unseen,clustered,18,clustered_18.wav,2.952842018979848,dnsmos
unseen,clustered,19,clustered_19.wav,3.220460416606663,dnsmos
unseen,clustered,20,clustered_20.wav,2.625647334920801,dnsmos
