set,condition,index,filename,automated_mos,scoring_method
unseen,clustered,11,clustered_11.wav,2.853633328464326,dnsmos
unseen,clustered,12,clustered_12.wav,2.9629881801290474,dnsmos
unseen,clustered,13,clustered_13.wav,3.0788616462908642,dnsmos
unseen,clustered,14,clustered_14.wav,3.2452085247328264,dnsmos
unseen,clustered,15,clustered_15.wav,2.926268540711296,dnsmos
unseen,clustered,16,clustered_16.wav,2.9913206668062142,dnsmos
unseen,clustered,17,clustered_17.wav,3.198442216020672,dnsmos
unseen,clustered,18,clustered_18.wav,3.342908211922136,dnsmos
unseen,clustered,19,clustered_19.wav,3.187870778350194,dnsmos
unseen,clustered,20,clustered_20.wav,3.2911973782106774,dnsmos
